Date,Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2000-04-30,Hungary,339.0,279.0,1.21,135.05976095618,-51.591483528253,,,,,
2001-04-30,Hungary,399.0,303.0,1.32,157.08661417323,-48.156232946129,,,,,
2002-04-30,Hungary,459.0,272.0,1.69,184.33734939759,-32.228915662651,,,,,
2003-04-30,Hungary,490.0,224.0,2.14,180.81180811808,-19.280442804428,,,,,
2004-05-31,Hungary,530.0,211.0,2.52,182.75862068966,-13.384539957509,,,,,
2005-06-30,Hungary,530.0,203.643,2.6025937547571,173.20261437908,-14.947916511206,,,,,
2006-01-31,Hungary,560.0,206.956,2.7058891745105,177.77777777778,-14.098756364745,,,,,
2006-05-31,Hungary,560.0,206.3444,2.7139093670582,180.64516129032,-12.45453654651,,,,,
2007-01-31,Hungary,590.0,194.4237,3.0346094637639,183.2298136646,-5.757470069443,,,,,
2007-06-30,Hungary,600.0,180.2106,3.3294378910009,175.95307917889,-2.3625251905906,,,,,
2008-06-30,Hungary,670.0,144.2578,4.6444628990599,187.67507002801,30.096999973666,,,,,
2009-07-31,Hungary,720.0,199.1577,3.6152255222871,201.68067226891,1.2668213525802,,,,,
2010-01-31,Hungary,720.0,186.6508,3.8574707421559,201.11731843575,7.7505793898307,,,,,
2010-07-31,Hungary,740.0,221.96915,3.3337966109254,198.21428571429,-10.701876493069,,,,,
2011-07-31,Hungary,760.0,188.0724,4.0409969777596,186.9618696187,-0.59048025191566,57.275937197238,15.382994632411,44.668786292381,49.092086139091,52.217919743096
2012-01-31,Hungary,645.0,245.69425,2.6252140617861,153.67314555825,-37.45350346691,-6.0333546737096,-19.927698073854,-8.038244013585,-9.3088266128347,-5.6979197499633
2012-07-31,Hungary,830.0,238.2151,3.4842459608984,191.79664933564,-19.485939667282,18.308126705855,6.5361590695556,10.251379850916,19.96032859819,25.741266771871
2013-01-31,Hungary,830.0,217.46935,3.8166297917385,190.04460133088,-12.610856964034,26.262275169374,4.7285181364324,18.710410787282,53.462293457346,31.75701762696
2013-07-31,Hungary,860.0,228.462,3.7643021596589,188.73445501097,-17.389125976761,19.715259264039,8.4051267207718,24.018618924186,66.855633283597,27.990705020023
2014-01-31,Hungary,860.0,223.09705,3.8548246155653,185.97945575779,-16.637420459932,24.526718040417,6.8851376769504,13.03418179557,89.047261189272,23.045631788285
2014-07-31,Hungary,860.0,228.30615,3.7668718078773,179.35349322211,-21.441672411319,18.478445312121,0.063514660358166,2.735355152842,48.945614013229,26.563945875983
2015-01-31,Hungary,860.0,271.39345,3.1688310826956,179.54070981211,-33.844862574204,-0.37984238001989,-1.7122730445285,-3.386991050259,33.160625498126,5.0416760433748
2015-07-31,Hungary,900.0,282.8778,3.1815858296409,187.89144050104,-33.57858393234,-2.2928299293824,2.2216762332789,-3.5776653358516,34.248726593518,7.7477229863101
2016-01-31,Hungary,900.0,292.67905,3.075040731477,182.55578093306,-37.625948651582,-4.7408851949969,3.0532741236667,3.0445082255142,27.296663243067,5.1894621983658
2016-07-31,Hungary,900.0,285.6397,3.1508225222194,178.57142857143,-37.483680114694,-2.2582429639361,-3.8577326292859,12.576325141816,14.682299365602,6.9061830234
2017-01-31,Hungary,900.0,294.6172,3.0548114638249,177.86561264822,-39.628231940219,-4.7290952554465,-2.9337121892458,16.213446660112,18.981659726222,1.8681263846616
2017-07-31,Hungary,862.0,268.6239,3.2089475284962,162.64150943396,-39.453820217054,-6.4091518685536,-7.813567997805,8.7324951964416,27.130293257505,3.4943645024635
2018-01-31,Hungary,864.0,252.14215,3.4266385053035,163.63636363636,-35.101543460162,2.450109616086,-8.5850197030528,5.0291642661941,33.555009241021,1.7416358978577
2018-07-31,Hungary,850.0,276.4302,3.074917284725,154.26497277677,-44.2,-12.7,-17.0,-4.8,13.5,-9.4
2019-01-31,Hungary,850.0,280.26875,3.0328033360837,152.32974910394,-45.6,-11.7,-14.0,0.5,12.3,-8.2
2019-07-31,Hungary,900.0,290.5412,3.0976673876201,156.79442508711,-46.0,-16.5,-13.5,-1.2,11.4,-5.3
2020-01-31,Hungary,900.0,298.7502,3.01255028448517,158.730158730159,-46.869,-18.6,-16.400000000000002,-11.3,7.199999999999999,-11.200000000000001
2020-07-31,Hungary,900.0,311.37795,2.89037807590422,157.61821366024523,-49.38,-20.3,-21.8,-10.6,2.0,-14.7
2021-01-31,Hungary,900.0,297.42395,3.02598361698848,159.01060070671392,-46.5,-16.7,-26.1,-11.600000000000001,2.9000000000000004,-18.7
2021-07-31,Hungary,900.0,305.64505,2.94459210119712,159.29203539822987,-47.882999999999996,-20.196,-26.912000000000003,-21.003,5.541,-19.895
2022-01-31,Hungary,982.0,317.51115,3.09280477236784,169.01893287435476,-46.768,-20.23,-22.932,-19.255,14.610000000000001,-23.852
